State,State Abbreviation,County,County Population
North Dakota,ND,Cavalier,3824.0
North Dakota,ND,Grant,2380.0
North Dakota,ND,Pembina,7016.0
North Dakota,ND,Steele,1910.0
North Dakota,ND,Hettinger,2576.0
North Dakota,ND,LaMoure,4100.0
North Dakota,ND,Morton,30544.0
North Dakota,ND,Cass,174202.0
North Dakota,ND,Dunn,4387.0
North Dakota,ND,Emmons,3352.0
North Dakota,ND,McIntosh,2654.0
North Dakota,ND,Nelson,2920.0
North Dakota,ND,Richland,16288.0
North Dakota,ND,Rolette,14603.0
North Dakota,ND,Walsh,10802.0
North Dakota,ND,Adams,2351.0
North Dakota,ND,Bottineau,6589.0
North Dakota,ND,Barnes,10836.0
North Dakota,ND,Eddy,2313.0
North Dakota,ND,Grand Forks,70400.0
North Dakota,ND,McKenzie,12536.0
North Dakota,ND,Mercer,8570.0
North Dakota,ND,McLean,9608.0
North Dakota,ND,Pierce,4210.0
North Dakota,ND,Ransom,5361.0
North Dakota,ND,Sioux,4413.0
North Dakota,ND,Bowman,3195.0
North Dakota,ND,Golden Valley,1882.0
North Dakota,ND,Logan,1927.0
North Dakota,ND,Towner,2246.0
North Dakota,ND,Stutsman,21064.0
North Dakota,ND,Divide,2369.0
North Dakota,ND,Foster,3290.0
North Dakota,ND,Sargent,3883.0
North Dakota,ND,Slope,704.0
North Dakota,ND,Stark,30876.0
North Dakota,ND,Traill,8019.0
North Dakota,ND,Dickey,4970.0
North Dakota,ND,Ward,69034.0
North Dakota,ND,McHenry,5927.0
North Dakota,ND,Benson,6886.0
North Dakota,ND,Renville,2495.0
North Dakota,ND,Burleigh,93737.0
North Dakota,ND,Oliver,1837.0
North Dakota,ND,Ramsey,11557.0
North Dakota,ND,Griggs,2266.0
North Dakota,ND,Sheridan,1405.0
North Dakota,ND,Wells,4055.0
Ohio,OH,Gallia,30195.0
Ohio,OH,Huron,58457.0
Ohio,OH,Athens,65936.0
Ohio,OH,Adams,27878.0
Ohio,OH,Medina,177257.0
Ohio,OH,Union,55654.0
Ohio,OH,Champaign,38864.0
Ohio,OH,Paulding,18872.0
Ohio,OH,Greene,165811.0
Ohio,OH,Franklin,1275333.0
Ohio,OH,Marion,65344.0
Ohio,OH,Morgan,14702.0
Ohio,OH,Wayne,116208.0
Ohio,OH,Wyandot,22107.0
Ohio,OH,Butler,378294.0
Ohio,OH,Harrison,15307.0
Ohio,OH,Knox,61215.0
Ohio,OH,Richland,121324.0
Ohio,OH,Vinton,13111.0
Ohio,OH,Hancock,75690.0
Ohio,OH,Fairfield,152910.0
Ohio,OH,Defiance,38279.0
Ohio,OH,Henry,27316.0
Ohio,OH,Jefferson,66886.0
Ohio,OH,Putnam,33969.0
Ohio,OH,Clinton,41896.0
Ohio,OH,Fayette,28645.0
Ohio,OH,Pickaway,57420.0
Ohio,OH,Logan,45307.0
Ohio,OH,Summit,541810.0
Ohio,OH,Sandusky,59299.0
Ohio,OH,Shelby,48797.0
Ohio,OH,Van Wert,28281.0
Ohio,OH,Washington,60671.0
Ohio,OH,Williams,36936.0
Ohio,OH,Auglaize,45784.0
Ohio,OH,Columbiana,104003.0
Ohio,OH,Darke,51734.0
Ohio,OH,Ottawa,40709.0
Ohio,OH,Fulton,42305.0
Ohio,OH,Hardin,31542.0
Ohio,OH,Jackson,32524.0
Ohio,OH,Lucas,432379.0
Ohio,OH,Morrow,34976.0
Ohio,OH,Noble,14443.0
Ohio,OH,Preble,41207.0
Ohio,OH,Seneca,55475.0
Ohio,OH,Stark,373475.0
Ohio,OH,Allen,103642.0
Ohio,OH,Coshocton,36574.0
Ohio,OH,Crawford,42021.0
Ohio,OH,Delaware,197008.0
Ohio,OH,Guernsey,39274.0
Ohio,OH,Hocking,28495.0
Ohio,OH,Mercer,40806.0
Ohio,OH,Ross,77051.0
Ohio,OH,Cuyahoga,1253783.0
Ohio,OH,Lorain,306713.0
Ohio,OH,Miami,104800.0
Ohio,OH,Montgomery,532034.0
Ohio,OH,Trumbull,201794.0
Ohio,OH,Wood,129936.0
Ohio,OH,Ashtabula,98136.0
Ohio,OH,Madison,43988.0
Ohio,OH,Muskingum,86076.0
Ohio,OH,Geauga,93961.0
Ohio,OH,Monroe,14090.0
Ohio,OH,Lake,230052.0
Ohio,OH,Clark,135198.0
Ohio,OH,Holmes,43859.0
Ohio,OH,Warren,226564.0
Ohio,OH,Ashland,53477.0
Ohio,OH,Mahoning,231064.0
Ohio,OH,Scioto,76377.0
Ohio,OH,Meigs,23160.0
Ohio,OH,Pike,28214.0
Ohio,OH,Hamilton,812037.0
Ohio,OH,Erie,75136.0
Ohio,OH,Lawrence,60622.0
Ohio,OH,Tuscarawas,92526.0
Ohio,OH,Brown,43679.0
Ohio,OH,Licking,172293.0
Ohio,OH,Carroll,27578.0
Ohio,OH,Clermont,203216.0
Ohio,OH,Highland,43007.0
Ohio,OH,Portage,162644.0
Ohio,OH,Belmont,68472.0
Ohio,OH,Perry,35985.0
Minnesota,MN,Cottonwood,11372.0
Minnesota,MN,Scott,143372.0
Minnesota,MN,Dodge,20582.0
Minnesota,MN,Wabasha,21500.0
Minnesota,MN,Pipestone,9185.0
Minnesota,MN,Crow Wing,63855.0
Minnesota,MN,Norman,6559.0
Minnesota,MN,Wright,132745.0
Minnesota,MN,Nicollet,33783.0
Minnesota,MN,Douglas,37203.0
Minnesota,MN,Grant,5938.0
Minnesota,MN,Kittson,4337.0
Minnesota,MN,Le Sueur,27983.0
Minnesota,MN,Mahnomen,5506.0
Minnesota,MN,Chisago,54727.0
Minnesota,MN,Redwood,15331.0
Minnesota,MN,Yellow Medicine,9868.0
Minnesota,MN,Todd,24440.0
Minnesota,MN,Beltrami,46117.0
Minnesota,MN,Blue Earth,66322.0
Minnesota,MN,Houston,18663.0
Minnesota,MN,Lac qui Parle,6773.0
Minnesota,MN,Lake of the Woods,3809.0
Minnesota,MN,Otter Tail,57992.0
Minnesota,MN,Waseca,18809.0
Minnesota,MN,St. Louis,200080.0
