Population,County,State,Abbreviation
1054314.0,Mecklenburg,North Carolina,NC
20186.0,Northampton,North Carolina,NC
139605.0,Rowan,North Carolina,NC
44482.0,Vance,North Carolina,NC
25796.0,Currituck,North Carolina,NC
226694.0,Union,North Carolina,NC
371573.0,Forsyth,North Carolina,NC
94003.0,Nash,North Carolina,NC
33778.0,Bladen,North Carolina,NC
35741.0,Dare,North Carolina,NC
20033.0,Warren,North Carolina,NC
81336.0,Wilson,North Carolina,NC
19644.0,Bertie,North Carolina,NC
11563.0,Gates,North Carolina,NC
8557.0,Graham,North Carolina,NC
23054.0,Martin,North Carolina,NC
21405.0,Madison,North Carolina,NC
12742.0,Pamlico,North Carolina,NC
13459.0,Perquimans,North Carolina,NC
20458.0,Polk,North Carolina,NC
142958.0,Randolph,North Carolina,NC
91270.0,Rockingham,North Carolina,NC
45905.0,Stokes,North Carolina,NC
12156.0,Washington,North Carolina,NC
10447.0,Camden,North Carolina,NC
10813.0,Clay,North Carolina,NC
332106.0,Cumberland,North Carolina,NC
216585.0,Gaston,North Carolina,NC
523582.0,Guilford,North Carolina,NC
42256.0,Jackson,North Carolina,NC
95629.0,Moore,North Carolina,NC
133442.0,Robeson,North Carolina,NC
61114.0,Stanly,North Carolina,NC
1046558.0,Wake,North Carolina,NC
17667.0,Yancey,North Carolina,NC
69791.0,Chatham,North Carolina,NC
45109.0,McDowell,North Carolina,NC
191172.0,Johnston,North Carolina,NC
9695.0,Jones,North Carolina,NC
39305.0,Person,North Carolina,NC
126860.0,Brunswick,North Carolina,NC
26786.0,Ashe,North Carolina,NC
47243.0,Beaufort,North Carolina,NC
57227.0,Lenoir,North Carolina,NC
66532.0,Rutherford,North Carolina,NC
81441.0,Lincoln,North Carolina,NC
193912.0,Onslow,North Carolina,NC
142938.0,Orange,North Carolina,NC
63561.0,Sampson,North Carolina,NC
37665.0,Yadkin,North Carolina,NC
17501.0,Avery,North Carolina,NC
89712.0,Burke,North Carolina,NC
22746.0,Caswell,North Carolina,NC
41991.0,Davie,North Carolina,NC
59062.0,Duplin,North Carolina,NC
306457.0,Durham,North Carolina,NC
60125.0,Lee,North Carolina,NC
224231.0,New Hanover,North Carolina,NC
124002.0,Wayne,North Carolina,NC
35262.0,Scotland,North Carolina,NC
51737.0,Halifax,North Carolina,NC
160576.0,Alamance,North Carolina,NC
60433.0,Haywood,North Carolina,NC
10973.0,Alleghany,North Carolina,NC
97159.0,Cleveland,North Carolina,NC
58874.0,Granville,North Carolina,NC
53239.0,Hoke,North Carolina,NC
172525.0,Iredell,North Carolina,NC
177372.0,Pitt,North Carolina,NC
27668.0,Cherokee,North Carolina,NC
68460.0,Wilkes,North Carolina,NC
37119.0,Alexander,North Carolina,NC
68920.0,Carteret,North Carolina,NC
39479.0,Pasquotank,North Carolina,NC
14254.0,Swain,North Carolina,NC
25306.0,Anson,North Carolina,NC
64902.0,Franklin,North Carolina,NC
34410.0,Macon,North Carolina,NC
33513.0,Transylvania,North Carolina,NC
56293.0,Columbus,North Carolina,NC
27338.0,Montgomery,North Carolina,NC
45189.0,Richmond,North Carolina,NC
72099.0,Surry,North Carolina,NC
254474.0,Buncombe,North Carolina,NC
201448.0,Cabarrus,North Carolina,NC
164664.0,Davidson,North Carolina,NC
24153.0,Hertford,North Carolina,NC
59020.0,Pender,North Carolina,NC
54117.0,Watauga,North Carolina,NC
4119.0,Tyrrell,North Carolina,NC
2213.0,Burke,North Dakota,ND
10152.0,Mountrail,North Dakota,ND
34061.0,Williams,North Dakota,ND
946.0,Billings,North Dakota,ND
2460.0,Kidder,North Dakota,ND
3824.0,Cavalier,North Dakota,ND
2380.0,Grant,North Dakota,ND
7016.0,Pembina,North Dakota,ND
1910.0,Steele,North Dakota,ND
2576.0,Hettinger,North Dakota,ND
4100.0,LaMoure,North Dakota,ND
30544.0,Morton,North Dakota,ND
174202.0,Cass,North Dakota,ND
4387.0,Dunn,North Dakota,ND
3352.0,Emmons,North Dakota,ND
2654.0,McIntosh,North Dakota,ND
2920.0,Nelson,North Dakota,ND
16288.0,Richland,North Dakota,ND
14603.0,Rolette,North Dakota,ND
10802.0,Walsh,North Dakota,ND
2351.0,Adams,North Dakota,ND
6589.0,Bottineau,North Dakota,ND
10836.0,Barnes,North Dakota,ND
2313.0,Eddy,North Dakota,ND
70400.0,Grand Forks,North Dakota,ND
12536.0,McKenzie,North Dakota,ND
8570.0,Mercer,North Dakota,ND
9608.0,McLean,North Dakota,ND
4210.0,Pierce,North Dakota,ND
5361.0,Ransom,North Dakota,ND
4413.0,Sioux,North Dakota,ND
3195.0,Bowman,North Dakota,ND
1882.0,Golden Valley,North Dakota,ND
1927.0,Logan,North Dakota,ND
2246.0,Towner,North Dakota,ND
21064.0,Stutsman,North Dakota,ND
2369.0,Divide,North Dakota,ND
3290.0,Foster,North Dakota,ND
3883.0,Sargent,North Dakota,ND
704.0,Slope,North Dakota,ND
30876.0,Stark,North Dakota,ND
8019.0,Traill,North Dakota,ND
4970.0,Dickey,North Dakota,ND
69034.0,Ward,North Dakota,ND
5927.0,McHenry,North Dakota,ND
6886.0,Benson,North Dakota,ND
2495.0,Renville,North Dakota,ND
93737.0,Burleigh,North Dakota,ND
1837.0,Oliver,North Dakota,ND
11557.0,Ramsey,North Dakota,ND
2266.0,Griggs,North Dakota,ND
1405.0,Sheridan,North Dakota,ND
4055.0,Wells,North Dakota,ND
30195.0,Gallia,Ohio,OH
58457.0,Huron,Ohio,OH
65936.0,Athens,Ohio,OH
27878.0,Adams,Ohio,OH
177257.0,Medina,Ohio,OH
55654.0,Union,Ohio,OH
38864.0,Champaign,Ohio,OH
18872.0,Paulding,Ohio,OH
165811.0,Greene,Ohio,OH
1275333.0,Franklin,Ohio,OH
65344.0,Marion,Ohio,OH
14702.0,Morgan,Ohio,OH
116208.0,Wayne,Ohio,OH
22107.0,Wyandot,Ohio,OH
378294.0,Butler,Ohio,OH
15307.0,Harrison,Ohio,OH
61215.0,Knox,Ohio,OH
121324.0,Richland,Ohio,OH
13111.0,Vinton,Ohio,OH
75690.0,Hancock,Ohio,OH
152910.0,Fairfield,Ohio,OH
38279.0,Defiance,Ohio,OH
27316.0,Henry,Ohio,OH
66886.0,Jefferson,Ohio,OH
33969.0,Putnam,Ohio,OH
41896.0,Clinton,Ohio,OH
28645.0,Fayette,Ohio,OH
57420.0,Pickaway,Ohio,OH
45307.0,Logan,Ohio,OH
541810.0,Summit,Ohio,OH
59299.0,Sandusky,Ohio,OH
48797.0,Shelby,Ohio,OH
28281.0,Van Wert,Ohio,OH
60671.0,Washington,Ohio,OH
36936.0,Williams,Ohio,OH
45784.0,Auglaize,Ohio,OH
104003.0,Columbiana,Ohio,OH
51734.0,Darke,Ohio,OH
40709.0,Ottawa,Ohio,OH
42305.0,Fulton,Ohio,OH
31542.0,Hardin,Ohio,OH
32524.0,Jackson,Ohio,OH
432379.0,Lucas,Ohio,OH
34976.0,Morrow,Ohio,OH
14443.0,Noble,Ohio,OH
41207.0,Preble,Ohio,OH
55475.0,Seneca,Ohio,OH
373475.0,Stark,Ohio,OH
103642.0,Allen,Ohio,OH
36574.0,Coshocton,Ohio,OH
42021.0,Crawford,Ohio,OH
197008.0,Delaware,Ohio,OH
39274.0,Guernsey,Ohio,OH
28495.0,Hocking,Ohio,OH
40806.0,Mercer,Ohio,OH
77051.0,Ross,Ohio,OH
1253783.0,Cuyahoga,Ohio,OH
306713.0,Lorain,Ohio,OH
104800.0,Miami,Ohio,OH
532034.0,Montgomery,Ohio,OH
201794.0,Trumbull,Ohio,OH
129936.0,Wood,Ohio,OH
98136.0,Ashtabula,Ohio,OH
43988.0,Madison,Ohio,OH
86076.0,Muskingum,Ohio,OH
93961.0,Geauga,Ohio,OH
14090.0,Monroe,Ohio,OH
230052.0,Lake,Ohio,OH
135198.0,Clark,Ohio,OH
43859.0,Holmes,Ohio,OH
226564.0,Warren,Ohio,OH
53477.0,Ashland,Ohio,OH
231064.0,Mahoning,Ohio,OH
76377.0,Scioto,Ohio,OH
23160.0,Meigs,Ohio,OH
28214.0,Pike,Ohio,OH
812037.0,Hamilton,Ohio,OH
75136.0,Erie,Ohio,OH
60622.0,Lawrence,Ohio,OH
92526.0,Tuscarawas,Ohio,OH
43679.0,Brown,Ohio,OH
172293.0,Licking,Ohio,OH
27578.0,Carroll,Ohio,OH
203216.0,Clermont,Ohio,OH
43007.0,Highland,Ohio,OH
162644.0,Portage,Ohio,OH
68472.0,Belmont,Ohio,OH
35985.0,Perry,Ohio,OH
11372.0,Cottonwood,Minnesota,MN
143372.0,Scott,Minnesota,MN
20582.0,Dodge,Minnesota,MN
21500.0,Wabasha,Minnesota,MN
9185.0,Pipestone,Minnesota,MN
63855.0,Crow Wing,Minnesota,MN
6559.0,Norman,Minnesota,MN
132745.0,Wright,Minnesota,MN
33783.0,Nicollet,Minnesota,MN
37203.0,Douglas,Minnesota,MN
5938.0,Grant,Minnesota,MN
4337.0,Kittson,Minnesota,MN
27983.0,Le Sueur,Minnesota,MN
5506.0,Mahnomen,Minnesota,MN
54727.0,Chisago,Minnesota,MN
15331.0,Redwood,Minnesota,MN
9868.0,Yellow Medicine,Minnesota,MN
24440.0,Todd,Minnesota,MN
46117.0,Beltrami,Minnesota,MN
66322.0,Blue Earth,Minnesota,MN
18663.0,Houston,Minnesota,MN
6773.0,Lac qui Parle,Minnesota,MN
3809.0,Lake of the Woods,Minnesota,MN
57992.0,Otter Tail,Minnesota,MN
18809.0,Waseca,Minnesota,MN
200080.0,St. Louis,Minnesota,MN
347431.0,Anoka,Minnesota,MN
